score,k,N,thr,tp,fp,features,hp
5040,3,999,0.6774720118937131,709,290,"['V191', 'V160', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5020,3,1000,0.5858639253536995,708,292,"['V255', 'V215', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5005,3,1000,0.6220351364036454,707,293,"['V176', 'V160', 'V380']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4990,3,1000,0.6563367239644405,706,294,"['V191', 'V160', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4975,4,999,0.6708218390211586,718,281,"['V191', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4965,2,1000,0.7411112188027286,691,309,"['V176', 'V255']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4950,3,969,0.6509957282716404,693,276,"['V255', 'V191', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4945,3,1000,0.6539875078744946,703,297,"['V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4935,2,1000,0.6562317376935876,689,311,"['V176', 'V160']","{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}"
4935,3,999,0.6442513527961,702,297,"['V176', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4935,3,993,0.6710843202828922,700,293,"['V176', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4915,3,1000,0.635180792614433,701,299,"['V255', 'V215', 'V380']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4900,2,995,0.6127214165062351,685,310,"['V255', 'V380']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4890,3,996,0.6017041397733764,698,298,"['V191', 'V380', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
4890,3,999,0.6065627943550187,699,300,"['V176', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4875,2,1000,0.6733396991697777,685,315,"['V255', 'V160']","{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}"
4845,2,1000,0.5774770499120152,683,317,"['V160', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4825,3,997,0.6419061763092802,694,303,"['V191', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4815,2,1000,0.5512990759882379,681,319,"['V176', 'V191']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4805,2,996,0.5599520644389582,679,317,"['V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4775,2,996,0.5528487755105861,677,319,"['V160', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4755,3,999,0.6224198247479329,690,309,"['V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4755,2,1000,0.6703448989348542,677,323,"['V191', 'V160']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4740,2,1000,0.7006406845419788,676,324,"['V255', 'V215']","{'kernel': 'rbf', 'C': 10.0, 'gamma': 'scale'}"
4740,2,1000,0.48019204905795754,676,324,"['V176', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4710,2,1000,0.4631804765393679,674,326,"['V255', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4665,2,1000,0.6939561888340355,671,329,"['V255', 'V191']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
4650,2,991,0.5339360080695514,667,324,"['V176', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4635,2,991,0.4866583024580807,666,325,"['V191', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4595,2,999,0.5475578903181713,666,333,"['V191', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4550,2,999,0.7300389087637403,663,336,"['V176', 'V215']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
4535,2,999,0.4589906411768978,662,337,"['V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4505,2,993,0.5515837763934174,658,335,"['V191', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
4355,2,999,0.6261230526162901,650,349,"['V215', 'V380']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
4310,2,996,0.5392036197249086,646,350,"['V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
