run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda
129,129,lgbm,random,0.6586000000000001,0.009810198774744585,0.6585226041963124,0.010199292705595615,0.6523421654424539,0.020115563061164052,0.6552527929737076,0.01196601872673148,324.6,9.830564581955606,168.4,8.309031231136396,195.0,0.10187462665318671,82.0,32.0,0.6047265938433048,0.9543038868631366,1.0388448817877372
130,130,lgbm,random,0.6692000000000001,0.004955804677345551,0.6701359345851847,0.004177735330453143,0.6603734858952914,0.019579428480595313,0.6650437548612411,0.0094958707331159,328.6,9.687104830649867,161.8,6.523802572120036,217.0,0.07673165416913849,30.0,27.0,0.8811695445101059,0.8520387330735313,2.227254947719649
131,131,lgbm,random,0.656,0.004857983120596453,0.6553799792835932,0.007857385483111318,0.6515187510605804,0.008830026028756755,0.6533559501647809,0.003530735690914846,324.2,4.707440918375927,170.6,7.657675887630659,322.0,0.17221637487604047,45.0,47.0,0.5495231007285762,0.6331399100979177,1.704874459716038
132,132,lgbm,random,0.6626000000000001,0.01684755175092213,0.6613826415153209,0.019385889442297737,0.661171042318166,0.027099022939420982,0.660905280550876,0.017745089408435253,329.0,13.520355024924458,168.8,15.548633380461448,181.0,0.09638895328563186,41.0,44.0,0.6784508873859674,0.9621219337587389,1.2124797094374162
133,133,lgbm,random,0.6660000000000001,0.012263767773404724,0.6630453666689423,0.010910383055003515,0.6684088466542225,0.02122687145491653,0.665611221602419,0.014589880758652356,332.6,10.556514576317317,169.0,6.48074069840786,261.0,0.08441203876919393,21.0,31.0,0.9775230353247479,0.6595084458780579,1.8662512348764715
134,134,lgbm,random,0.6632,0.006852736679604732,0.6651465868500221,0.0055229047107573145,0.6507098817806437,0.01847525352909994,0.6577338410935983,0.010732738336105208,323.8,9.431860898041277,163.0,4.979959839195493,138.0,0.09716463672707178,70.0,30.0,0.5976059387068254,0.4975485718501105,1.9861019359777878
135,135,lgbm,random,0.6692,0.007858753081755408,0.6694506943269882,0.014275894828628522,0.663591993729445,0.011276695958805497,0.6662853323294475,0.003845830241631478,330.2,5.418486873657626,163.4,12.483589227461788,259.0,0.047441552871124476,95.0,15.0,0.9314911566944506,0.7821322605557758,0.8150839997560393
136,136,lgbm,random,0.6570000000000001,0.013206059215375354,0.6570711601867602,0.008867485579760347,0.6491091125063636,0.029086070526632916,0.6528856379752842,0.01865960721504577,323.0,14.560219778561036,168.4,3.4409301068170506,323.0,0.1716123112456886,25.0,19.0,0.5762094992339503,0.24207133023642236,1.209380927278719
137,137,lgbm,random,0.6714,0.008731551981177237,0.6714473853660294,0.013699697026384646,0.6663927339135214,0.01813470790595646,0.668626018647168,0.008313319288626,331.6,9.134549797335389,162.6,13.093509842666327,322.0,0.10592190327705148,39.0,21.0,0.8499951763546784,0.4996003448516475,1.5054060438497259
138,138,lgbm,random,0.6462000000000001,0.006337191807101949,0.6432825307106149,0.007777354805914621,0.6491058802614886,0.0170855017564408,0.6460343358876722,0.008798989746236196,323.0,8.694826047713663,179.2,8.034923770640265,350.0,0.1512865051313081,89.0,44.0,0.976119219786671,0.8401008250536687,0.6551690309357898
139,139,lgbm,random,0.6696,0.012175385004179551,0.6712717458740768,0.014844634985488712,0.6591597779447771,0.011311981724730382,0.6650739248217609,0.010771643002910572,328.0,5.761944116355173,160.8,10.264501936285072,104.0,0.05803429970880393,32.0,11.0,0.6971804311832832,0.5128335890037787,0.8839062924084353
140,140,lgbm,random,0.6706,0.02267686045289335,0.6669307437268474,0.020659553931426114,0.6748353575266862,0.032063303673803424,0.6707135375042261,0.025050575603926165,335.8,16.004999218994044,167.6,10.744300814850634,204.0,0.057421068894191435,42.0,23.0,0.7264177288732055,0.5203813091067112,2.3310088116025574
141,141,lgbm,random,0.6714,0.008777243302996684,0.6676839243503849,0.011814776219238163,0.6768458138388564,0.008479972302471484,0.6721448322405437,0.006823005847736166,336.8,4.354308211415448,167.8,9.368030742904295,218.0,0.08342561772733356,87.0,12.0,0.7106930943988997,0.7142072212214646,0.8088717728518473
142,142,lgbm,random,0.6696000000000001,0.014164744967700631,0.669748689201137,0.013034126347626981,0.6628000937351014,0.021371971209964393,0.6661670763896648,0.01590687078888186,329.8,10.342146779078318,162.6,6.974238309665077,377.0,0.08648257273190565,32.0,36.0,0.9162357063860624,0.19988418727312518,0.7545085150306838
